"","Black","White","Asian","Hispanic","Latino","Unkonwn","Other","subject_age"
"1",0,1,0,0,0,0,0,"57.0"
"2",1,0,0,0,0,0,0,"U"
"3",0,1,0,0,0,0,0,"U"
"4",0,0,0,0,0,1,0,"U"
"5",0,0,0,0,0,1,0,"23.0"
"6",0,0,0,0,1,0,0,"U"
"7",1,0,0,0,0,0,0,"26.0"
"8",0,0,0,0,0,1,0,"32.0"
"9",0,0,0,0,0,1,0,"U"
"10",0,0,0,0,0,1,0,"U"
"11",0,0,0,0,2,0,0,"U"
"12",0,0,1,0,0,0,0,"U"
"13",1,0,0,0,0,0,0,"34.0"
"14",0,0,0,0,0,1,0,"U"
"15",0,0,0,0,0,1,0,"U"
"16",1,0,0,0,0,0,0,"25.0"
"17",1,0,0,0,0,0,0,"U"
"18",0,0,0,0,0,1,0,"U"
"19",0,1,0,0,0,0,0,"32.0"
"20",1,0,0,0,0,0,0,"10.0"
"21",0,1,0,0,0,0,0,"U"
"22",0,0,0,0,0,1,0,"U"
"23",0,0,0,1,0,0,0,"34.0"
"24",0,0,0,0,0,1,0,"U"
"25",0,1,0,0,0,0,0,"U"
"26",1,0,0,0,0,0,0,"30.0"
"27",0,0,0,0,0,1,0,"U"
"28",1,0,0,0,0,0,0,"16.0"
"29",0,1,0,0,0,0,0,"44.0"
"30",0,1,0,0,0,0,0,"U"
"31",0,1,0,0,0,0,0,"U"
"32",0,0,0,0,0,1,0,"U"
"33",0,0,0,0,0,1,0,"U"
"34",0,0,0,0,0,1,0,"50.0"
"35",0,1,0,0,0,0,0,"10.0"
"36",0,0,0,1,0,0,0,"U"
"37",1,0,0,0,1,0,0,"10.0"
"38",1,0,0,0,0,0,0,"27.0"
"39",1,0,0,0,1,0,0,"U"
"40",0,1,0,1,0,0,0,"U"
"41",0,0,0,0,0,1,0,"U"
"42",0,0,0,0,0,1,0,"U"
"43",0,1,0,0,0,0,0,"25.0"
"44",0,0,0,1,0,0,0,"U"
"45",0,1,0,0,0,0,0,"24.0"
"46",0,0,0,1,0,0,0,"60.0"
"47",1,0,0,0,0,0,0,"U"
"48",0,0,0,0,0,1,0,"U"
"49",0,0,0,0,0,1,0,"35.0"
"50",0,0,0,0,1,0,0,"U"
"51",0,7,0,0,1,0,0,"31.0"
"52",0,0,0,0,0,1,0,"18.0"
"53",0,0,0,0,0,1,0,"U"
"54",1,0,0,0,0,0,0,"U"
"55",0,0,0,0,0,1,0,"48.0"
"56",0,0,0,0,0,1,0,"U"
"57",0,0,0,0,0,1,0,"24.0"
"58",0,0,0,0,0,1,0,"U"
"59",0,0,0,0,0,1,0,"40.0"
"60",0,0,0,0,0,1,0,"24.0"
"61",0,0,0,1,0,0,0,"U"
"62",0,0,0,0,0,1,0,"28.0"
"63",0,1,0,0,0,0,0,"39.0"
"64",1,1,0,0,3,0,0,"U"
"65",0,0,0,0,1,0,0,"28.0"
"66",0,0,0,0,0,1,0,"U"
"67",0,1,0,0,0,0,0,"U"
"68",0,1,0,0,0,0,0,"26.0"
"69",0,1,0,0,0,0,0,"36.0"
"70",0,1,0,1,0,0,0,"18.0"
"71",0,0,0,0,0,1,0,"20.0"
"72",0,1,0,0,0,0,0,"32.0"
"73",0,1,0,0,0,0,0,"25.0"
"74",1,0,0,0,0,0,0,"25.0"
"75",1,0,0,0,0,0,0,"18.0"
"76",0,1,0,0,0,0,0,"19.0"
"77",0,0,0,0,0,1,0,"U"
"78",0,0,0,0,0,1,0,"U"
"79",0,1,0,0,0,0,0,"25.0"
"80",0,0,0,0,1,0,0,"25.0"
"81",0,0,0,0,0,1,0,"57.0"
"82",0,0,0,0,0,1,0,"U"
"83",1,0,0,0,0,0,0,"U"
"84",1,1,0,1,0,0,0,"U"
"85",0,0,0,1,0,0,0,"U"
"86",0,0,0,0,0,1,0,"U"
"87",0,0,0,0,0,1,0,"U"
"88",1,0,0,0,0,0,0,"U"
"89",0,1,0,0,0,0,0,"49.0"
"90",0,0,0,0,1,0,0,"U"
"91",0,1,0,0,0,0,0,"42.0"
"92",0,0,0,0,0,1,0,"45.0"
"93",0,1,0,0,0,0,0,"U"
"94",0,0,0,0,0,1,0,"U"
"95",0,0,0,0,0,1,0,"21.0"
"96",0,0,0,0,0,1,0,"U"
"97",1,0,0,0,0,0,0,"15.0"
"98",0,0,0,1,0,0,0,"U"
"99",0,0,0,0,0,1,0,"U"
"100",0,0,0,1,0,0,0,"29.0"
"101",0,1,0,0,0,0,0,"U"
"102",0,0,0,0,0,1,0,"U"
"103",0,0,0,1,0,0,0,"U"
"104",0,0,0,0,0,1,0,"23.0"
"105",0,0,0,0,0,1,0,"U"
"106",0,1,0,0,0,0,0,"10.0"
"107",0,0,0,0,0,1,0,"U"
"108",0,0,0,0,0,1,0,"U"
"109",1,0,0,0,0,0,0,"U"
"110",0,1,0,0,0,0,0,"25.0"
"111",0,1,0,0,0,0,0,"U"
"112",0,0,1,0,0,0,0,"25.0"
"113",0,5,0,0,2,0,0,"U"
"114",0,1,0,0,0,0,0,"32.0"
"115",0,0,0,0,2,0,0,"25.0"
"116",0,0,0,0,0,1,0,"22.0"
"117",0,0,0,1,0,0,0,"28.0"
"118",0,1,0,0,0,0,0,"30.0"
"119",0,0,0,0,1,0,0,"32.0"
"120",0,0,0,1,0,0,0,"35.0"
"121",0,0,0,0,0,1,0,"19.0"
"122",0,0,0,0,0,1,0,"24.0"
"123",0,0,0,0,0,1,0,"U"
"124",0,0,0,1,0,0,0,"U"
"125",0,0,0,0,0,1,0,"U"
"126",0,0,0,0,0,1,0,"20.0"
"127",0,1,0,0,0,0,0,"22.0"
"128",0,0,0,0,1,0,0,"32.0"
"129",0,0,0,1,0,0,0,"U"
"130",0,1,0,0,0,0,0,"30-39"
"131",1,0,0,0,0,0,0,"17.0"
"132",0,0,0,0,0,1,0,"U"
"133",0,0,0,0,0,1,0,"U"
"134",0,0,0,0,0,1,0,"69.0"
"135",0,0,0,0,0,1,0,"U"
"136",0,1,0,0,0,0,0,"23.0"
"137",0,0,0,0,0,1,0,"22.0"
"138",0,0,0,0,0,1,0,"U"
"139",0,0,0,0,0,1,0,"33.0"
"140",0,0,0,0,0,1,0,"22.0"
"141",0,1,0,0,0,0,0,"10.0"
"142",0,0,0,0,0,1,0,"U"
"143",0,1,0,0,0,0,0,"U"
"144",0,0,0,0,0,1,0,"47.0"
